last_name, first_name,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_percent,meatball_swing_percent,iz_contact_percent,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,f_strike_percent
Anderson, Brian,2020,27,200,229,51,32,7,1,11,66,22,28.8,9.6,0.255,0.465,0.345,0.81,0.228,0.425,0.342,0.312,0.322,0.197,0.439,0.387,87.4,9.6,34.8,9.6,18.5,23.7,36.3,5.2,39.3,73.2,27.9,29.7,47.3,52.7,55.4,89.5,72.1,34.4,49.1,43,34.1,23,63.8
Leon, Sandy,2020,31,66,81,9,6,1,0,2,21,14,25.9,17.3,0.136,0.242,0.296,0.539,0.18,0.31,0.256,0.289,0.334,0.13,0.229,0.29,84.9,17.9,37.8,4.4,22.2,31.1,26.7,8.9,28.9,62.2,19.6,25.6,52,48,55.6,67.6,80.4,30.6,41.9,51.1,26.7,22.2,56.8
Encarnacion, Edwin,2020,37,159,181,25,10,5,0,10,54,16,29.8,8.8,0.157,0.377,0.249,0.626,0.164,0.369,0.267,0.268,0.26,0.206,0.323,0.325,85.4,22.8,29.2,13.2,9.4,37.7,30.2,4.7,33,63.1,25.9,29.9,45.5,54.5,52.1,71.9,74.1,32.6,45.8,45.3,36.8,17.9,59.7
Cervelli, Francisco,2020,34,53,62,13,8,2,0,3,14,8,22.6,12.9,0.245,0.453,0.355,0.808,0.25,0.449,0.346,0.34,0.361,0.199,0.39,0.382,89,13.3,38.5,7.7,25.6,23.1,30.8,2.6,38.5,68,24.2,19.5,45.8,54.2,55.9,81.3,75.8,30,40.9,41,33.3,25.6,50
Yastrzemski, Mike,2020,30,192,225,57,29,14,4,10,55,30,24.4,13.3,0.297,0.568,0.4,0.968,0.255,0.496,0.4,0.355,0.364,0.241,0.495,0.421,88.2,18.4,35,10.9,26.3,24.8,23.4,5.1,42.3,58,19,19.8,41.9,58.1,49.9,72.1,81,24.9,38.9,40.1,39.4,20.4,60.4
Marte, Ketel,2020,27,181,195,52,35,14,1,2,21,7,10.8,3.6,0.287,0.409,0.323,0.732,0.265,0.379,0.311,0.295,0.309,0.114,0.325,0.306,89.2,10,28.8,3.7,22.7,24.5,38,3.1,40.5,61.6,9.2,28,25,75,49.4,65.9,90.8,14.1,45,36.2,40.5,23.3,60
Sandoval, Pablo,2020,34,84,94,18,16,1,0,1,19,8,20.2,8.5,0.214,0.262,0.287,0.549,0.237,0.349,0.248,0.281,0.308,0.112,0.259,0.306,91.9,8,28.8,3,24.2,22.7,37.9,3,51.5,75.9,27.5,35.5,35.7,64.3,55.5,88,72.5,30.5,53.5,25.8,51.5,22.7,58.5
Soler, Jorge,2020,28,149,174,34,18,8,0,8,60,19,34.5,10.9,0.228,0.443,0.322,0.765,0.244,0.49,0.327,0.338,0.339,0.247,0.455,0.477,92.5,15.5,36.7,18.9,24.4,21.1,24.4,4.4,51.1,56.5,26.3,23.4,58.3,41.7,55.5,69.4,73.7,37.2,38.2,48.9,28.9,22.2,55.7
Mathis, Jeff,2020,37,62,68,10,5,1,1,3,24,5,35.3,7.4,0.161,0.355,0.221,0.575,0.203,0.355,0.237,0.264,0.265,0.153,0.331,0.382,89.6,20.6,43.6,7.7,23.1,28.2,23.1,2.6,41,62.8,26.7,27.3,61.1,38.9,49.1,75,73.3,36.9,45.4,51.3,35.9,12.8,56.5
Moore, Dylan,2020,28,137,159,35,18,9,0,8,43,14,27,8.8,0.255,0.496,0.358,0.855,0.251,0.464,0.362,0.343,0.355,0.213,0.448,0.416,90.4,17.3,39.4,13.8,23.4,27.7,28.7,2.1,44.7,57.8,19.7,25.4,44,56,50.5,70.4,80.3,27.2,41.5,38.3,34,27.7,63.5
